name,time,transit_duration,stellar_effective_temperature,stellar_magnitude_j,n_exposures_possible,snr_median,snr_maximum,average_exposure_time,time_begin,airmass_begin,az_begin,alt_begin,moon_sep_begin,moon_phase_begin,time_mid,airmass_mid,az_mid,alt_mid,moon_sep_mid,moon_phase_mid,time_end,airmass_end,az_end,alt_end,moon_sep_end,moon_phase_end,rank,n_transits
HD 15337 b,2020-12-03 06:19:18.376357,2.49 h,5125.0,7.553,28,99.86611857844343,131.61229632856302,320.0,2020-12-03 03:49:54.376357,1.0662729993255091,256.8752470277521,69.69293115636901,83.78015804614108,148.2319288558329,2020-12-03 05:04:36.376357,1.2503702757067066,256.3071396314457,53.10748542253506,84.17019658927599,147.8540883895948,2020-12-03 06:19:18.376357,1.6738923733527877,252.96987808891168,36.684625069523925,84.50893309466478,147.5139793944458,784.0,1
LTT 1445 A b,2020-12-06 06:17:27.137398,1.3776 h,3337.0,7.294,27,99.26654388386547,132.8087892573059,180.0,2020-12-06 04:54:47.777398,1.1776118746963795,278.3371094600556,58.122183229997646,105.27932674754938,112.08549878068023,2020-12-06 05:36:07.457398,1.3300696988532659,272.7778416680171,48.75004270716265,105.55087096190512,111.81577992604768,2020-12-06 06:17:27.137398,1.577657126003916,268.36016650498834,39.33483855805119,105.79903145994655,111.56613873466036,729.0,1
HD 3167 b,2020-12-12 02:54:45.961780,1.65 h,5528.0,7.547999999999999,16,98.55638775041704,129.15099411864207,350.0,2020-12-12 01:15:45.961780,1.2271403294700576,322.4915711298769,54.577744819138644,145.87357870189106,36.683933505376686,2020-12-12 02:05:15.961780,1.3770948187752128,307.5589468248778,46.56596602372097,145.18940697958678,36.037957620767756,2020-12-12 02:54:45.961780,1.6611952729717057,296.97163489923867,37.01156327080722,144.50249225597202,35.38782255157195,0.0,0
L 168-9 b,2020-12-10 02:09:07.750098,1.264937 h,3800.0,7.941,13,99.40622454189807,133.28304032008722,330.0,2020-12-10 00:53:13.976898,1.337698993359366,203.39695620831753,48.37879572107683,115.98629621760591,63.8124046201739,2020-12-10 01:31:10.863498,1.4232712859184167,207.67121101615618,44.63651915740452,115.7177049314456,63.334296804357336,2020-12-10 02:09:07.750098,1.5425950393473105,210.64128058357093,40.41041166836617,115.44821251495208,62.86107755338713,0.0,0
L 98-59 b,2020-12-07 07:51:48.442018,1.02 h,3412.0,7.933,11,99.9059885945467,133.80081592071429,330.0,2020-12-07 06:50:36.442018,1.4090365118099475,171.80178266091747,45.21090351634938,86.8384430880333,98.89671454458028,2020-12-07 07:21:12.442018,1.3908007672491147,175.68996176535262,45.97282475470492,86.8006261239896,98.71004431995469,2020-12-07 07:51:48.442018,1.3843124707453647,179.74578258935102,46.25135024150039,86.75754898180699,98.53202203687047,0.0,0
L 98-59 d,2020-12-06 08:09:04.324706,0.845834 h,3412.0,7.933,9,99.9174077300238,133.80468448870502,330.0,2020-12-06 07:18:19.322306,1.3938296935530554,174.80403471859034,45.8441633102966,88.8565861649399,111.22849366006545,2020-12-06 07:43:41.823506,1.3854839741748457,178.13957349425536,46.20076303662566,88.82280759735507,111.09587557754955,2020-12-06 08:09:04.324706,1.3850919449941712,181.52577626322247,46.21767670713831,88.78519119887982,110.96664704957524,0.0,0
LHS 1815 b,2020-12-02 04:04:25.858026,1.4651530000000001 h,3643.0,8.801,7,99.73854824254113,133.4824912904251,730.0,2020-12-02 02:36:31.307226,1.4976231373923463,143.505968433258,41.891700066377396,80.21134630344177,160.15995794754457,2020-12-02 03:20:28.582626,1.3538152840149311,147.09275597001846,47.61681542125414,80.29069309944461,159.92224578553214,2020-12-02 04:04:25.858026,1.2578920592417508,152.9154114629799,52.65343952478041,80.3605171753569,159.70382865502768,0.0,0
WASP-63 b,2020-12-04 07:27:00.841243,5.34 h,5550.0,9.818,7,97.86814278870943,127.51853078403006,2730.0,2020-12-04 02:06:36.841243,1.623652710134806,120.50533801948941,38.01699995034433,66.57118820339362,137.2262568376694,2020-12-04 04:46:48.841243,1.0757736635566277,134.0071127053325,68.36688439203476,67.02049504026955,136.20251054609378,2020-12-04 07:27:00.841243,1.078982029954953,226.73538275782337,67.94128689060902,67.2699902298131,135.4283609212183,0.0,0
TOI-270 c,2020-12-04 02:52:48.954434,1.6580000000000001 h,3386.0,9.099,6,99.51326333759256,133.17120264259154,950.0,2020-12-04 01:13:20.154434,1.4120470248168757,140.0468504757347,45.08797786595043,87.49809062592634,137.6470825480905,2020-12-04 02:03:04.554434,1.268698441586713,145.06834442857848,52.01848785567192,87.7264985453082,137.2528863481141,2020-12-04 02:52:48.954434,1.1813115595762866,153.8335803440274,57.834807073129745,87.936242661953,136.89542455863952,0.0,0
TOI-270 b,2020-12-03 07:40:14.920836,1.3869999999999998 h,3386.0,9.099,5,99.37005914924882,133.00317228870543,950.0,2020-12-03 06:17:01.720836,1.2138438103838591,210.53983184324008,55.469971126533764,83.94386578864997,147.5240401482277,2020-12-03 06:58:38.320836,1.301693574900691,216.63768707077955,50.19520559549721,84.01981584493723,147.34124790301937,2020-12-03 07:40:14.920836,1.4325010111206733,220.3292093836785,44.27314730475076,84.08481720522175,147.15743758980304,0.0,0
